OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
67484,PETRO-CANADA,HWY 1 & HWY 207,Dugald                                  ,MB,900,3.72969139,30.0917561,47.797122
67484,PETRO-CANADA,HWY 1 & HWY 207,Dugald                                  ,MB,900,3.73656513,30.0917561,47.797122
67500,PETRO-CANADA,HWY 63,Fort Mcmurray                           ,AB,85,4.18305536,56.7748675,-111.4258448
67500,PETRO-CANADA,HWY 63,Fort Mcmurray                           ,AB,85,4.06304613,56.7748675,-111.4258448
67500,PETRO-CANADA,HWY 63,Fort Mcmurray                           ,AB,85,4.0621496,56.7748675,-111.4258448
67500,PETRO-CANADA,HWY 63,Fort Mcmurray                           ,AB,85,3.90457465,56.7748675,-111.4258448
67500,PETRO-CANADA,HWY 63,Fort Mcmurray                           ,AB,85,4.06394305,56.7748675,-111.4258448
67500,PETRO-CANADA,HWY 63,Fort Mcmurray                           ,AB,85,3.98155204,56.7748675,-111.4258448
67503,PETRO-CANADA,HWY-43,Grande Prairie                          ,AB,80,3.67317193,55.1705461,-118.9602111
67503,PETRO-CANADA,HWY-43,Grande Prairie                          ,AB,80,3.93248441,55.1705461,-118.9602111
67503,PETRO-CANADA,HWY-43,Grande Prairie                          ,AB,80,3.67506448,55.1705461,-118.9602111
67503,PETRO-CANADA,HWY-43,Grande Prairie                          ,AB,80,3.87609333,55.1705461,-118.9602111
67506,PETRO-CANADA,"HWY 2, EXIT 268",Calgary,AB,50,4.01621367,50.97946,-114.516108
67506,PETRO-CANADA,"HWY 2, EXIT 268",Calgary,AB,50,4.07143281,50.97946,-114.516108
67506,PETRO-CANADA,"HWY 2, EXIT 268",Calgary,AB,50,3.87010202,50.97946,-114.516108
67506,PETRO-CANADA,"HWY 2, EXIT 268",Calgary,AB,50,3.86810903,50.97946,-114.516108
67506,PETRO-CANADA,"HWY 2, EXIT 268",Calgary,AB,50,4.00823444,50.97946,-114.516108
67506,PETRO-CANADA,"HWY 2, EXIT 268",Calgary,AB,50,3.86725552,50.97946,-114.516108
67508,PETRO-CANADA,HWY-15 ,Fort Saskatchewan                       ,AB,80,3.72804545,53.6968535,-113.2171375
67508,PETRO-CANADA,HWY-15 ,Fort Saskatchewan                       ,AB,80,3.56361446,53.6968535,-113.2171375
67508,PETRO-CANADA,HWY-15 ,Fort Saskatchewan                       ,AB,80,3.93248441,53.6968535,-113.2171375
67508,PETRO-CANADA,HWY-15 ,Fort Saskatchewan                       ,AB,80,3.95981025,53.6968535,-113.2171375
67508,PETRO-CANADA,HWY-15 ,Fort Saskatchewan                       ,AB,80,3.86810903,53.6968535,-113.2171375
67508,PETRO-CANADA,HWY-15 ,Fort Saskatchewan                       ,AB,80,3.92467152,53.6968535,-113.2171375
67540,PETRO-CANADA,"HWY-97, SMITH AVE EXIT",Quesnel                                 ,BC,850,4.59114784,52.987299,-122.477011
67540,PETRO-CANADA,"HWY-97, SMITH AVE EXIT",Quesnel                                 ,BC,850,4.45521463,52.987299,-122.477011
67540,PETRO-CANADA,"HWY-97, SMITH AVE EXIT",Quesnel                                 ,BC,850,4.60231851,52.987299,-122.477011
67540,PETRO-CANADA,"HWY-97, SMITH AVE EXIT",Quesnel                                 ,BC,850,4.45292033,52.987299,-122.477011
67540,PETRO-CANADA,"HWY-97, SMITH AVE EXIT",Quesnel                                 ,BC,850,4.59317483,52.987299,-122.477011
67540,PETRO-CANADA,"HWY-97, SMITH AVE EXIT",Quesnel                                 ,BC,850,4.60163996,52.987299,-122.477011
67543,PETRO-CANADA,HWY 97,Fort St John,BC,850,4.64888344,56.2440155,-120.8679443
67543,PETRO-CANADA,HWY 97,Fort St John,BC,850,4.23231459,56.2440155,-120.8679443
67543,PETRO-CANADA,HWY 97,Fort St John,BC,850,4.43420612,56.2440155,-120.8679443
67543,PETRO-CANADA,HWY 97,Fort St John,BC,850,4.23013507,56.2440155,-120.8679443
67543,PETRO-CANADA,HWY 97,Fort St John,BC,850,4.22920168,56.2440155,-120.8679443
